Annual Salary ($),Years Experience,Education Level,Manager? (1=Yes),Hours/Week,Department,Department_Code,Education_Numeric
51244.0,10.1,High School,0,38.7,Marketing,MAR:::ING,1
105873.0,28.8,Bachelor,0,31.2,Engineering,ENG:::ING,2
43141.0,5.5,High School,0,35.4,Marketing,MAR:::ING,1
126238.0,32.3,Master,0,43.8,Finance,FIN:::NCE,3
,31.5,High School,1,40.8,Operations,OPE:::ONS,1
106192.0,24.2,Bachelor,1,30.4,Marketing,MAR:::ING,2
133100.0,34.4,Bachelor,1,24.0,Finance,FIN:::NCE,2
101487.0,26.1,High School,0,41.1,Engineering,ENG:::ING,1
81525.0,13.0,High School,0,37.5,Marketing,MAR:::ING,1
121586.0,28.7,Bachelor,0,46.3,Operations,OPE:::ONS,2
83951.0,8.9,Master,0,30.8,Finance,FIN:::NCE,3
92023.0,23.2,High School,0,32.4,Operations,OPE:::ONS,1
,12.5,Master,0,43.5,Operations,OPE:::ONS,3
120864.0,27.3,Master,0,36.0,Operations,OPE:::ONS,3
80731.0,4.9,Bachelor,0,39.6,Finance,FIN:::NCE,2
70986.0,1.4,Bachelor,1,37.7,Marketing,MAR:::ING,2
132196.0,34.7,High School,0,40.0,Engineering,ENG:::ING,1
98816.0,8.7,Bachelor,1,33.4,Finance,FIN:::NCE,2
102505.0,15.8,Master,0,44.7,Finance,FIN:::NCE,3
131545.0,28.1,Bachelor,1,42.4,Operations,OPE:::ONS,2
107274.0,23.0,High School,0,43.0,Finance,FIN:::NCE,1
103276.0,19.1,Master,0,38.5,Finance,FIN:::NCE,3
76072.0,8.1,Bachelor,0,31.2,Engineering,ENG:::ING,2
34173.0,3.5,High School,0,31.8,Marketing,MAR:::ING,1
118877.0,23.1,High School,1,26.5,Engineering,ENG:::ING,1
110974.0,21.7,Bachelor,0,36.3,Engineering,ENG:::ING,2
83271.0,9.6,Master,0,41.2,Marketing,MAR:::ING,3
106618.0,23.1,Master,0,41.4,Marketing,MAR:::ING,3
101601.0,2.2,High School,1,48.5,Engineering,ENG:::ING,1
104039.0,27.6,Bachelor,0,42.3,Marketing,MAR:::ING,2
72752.0,9.2,Master,0,41.4,Operations,OPE:::ONS,3
112452.0,28.5,Bachelor,0,35.0,Engineering,ENG:::ING,2
,19.5,Bachelor,0,41.7,Finance,FIN:::NCE,2
118496.0,34.5,Bachelor,0,29.9,Engineering,ENG:::ING,2
82785.0,9.3,Bachelor,0,39.3,Marketing,MAR:::ING,2
,7.0,Bachelor,1,41.1,Operations,OPE:::ONS,2
137131.0,26.3,High School,1,36.9,Engineering,ENG:::ING,1
91989.0,15.8,High School,1,32.1,Marketing,MAR:::ING,1
110727.0,33.4,High School,0,33.9,Operations,OPE:::ONS,1
86568.0,11.9,High School,1,23.7,Marketing,MAR:::ING,1
,14.4,Master,0,29.6,Finance,FIN:::NCE,3
,31.0,Bachelor,0,42.8,Operations,OPE:::ONS,2
91398.0,14.8,Bachelor,0,44.6,Operations,OPE:::ONS,2
112740.0,31.1,High School,0,29.4,Finance,FIN:::NCE,1
128021.0,34.8,Bachelor,0,35.4,Operations,OPE:::ONS,2
79953.0,7.4,Bachelor,0,47.5,Engineering,ENG:::ING,2
111463.0,22.5,Bachelor,0,41.0,Finance,FIN:::NCE,2
75155.0,3.8,Bachelor,0,39.7,Finance,FIN:::NCE,2
156352.0,33.9,Master,1,39.5,Operations,OPE:::ONS,3
87995.0,24.9,High School,0,45.5,Engineering,ENG:::ING,1
105597.0,18.3,Bachelor,0,41.1,Engineering,ENG:::ING,2
87527.0,10.0,Master,0,48.1,Engineering,ENG:::ING,3
54601.0,3.5,Bachelor,0,40.7,Marketing,MAR:::ING,2
141420.0,34.9,Bachelor,0,39.4,Operations,OPE:::ONS,2
95469.0,24.0,Bachelor,0,39.0,Marketing,MAR:::ING,2
75029.0,6.2,Master,0,38.6,Operations,OPE:::ONS,3
89285.0,17.4,High School,0,32.9,Finance,FIN:::NCE,1
73541.0,5.7,Bachelor,0,37.3,Engineering,ENG:::ING,2
71560.0,7.2,High School,0,37.1,Engineering,ENG:::ING,1
71652.0,10.4,High School,0,36.6,Marketing,MAR:::ING,1
102226.0,26.3,Master,0,30.6,Operations,OPE:::ONS,3
97307.0,18.0,High School,0,34.5,Finance,FIN:::NCE,1
106132.0,28.4,Master,0,32.9,Operations,OPE:::ONS,3
84439.0,21.1,Bachelor,0,37.4,Marketing,MAR:::ING,2
84203.0,7.5,Master,0,33.3,Finance,FIN:::NCE,3
104775.0,28.1,Bachelor,0,33.7,Marketing,MAR:::ING,2
104616.0,24.0,Bachelor,0,35.7,Finance,FIN:::NCE,2
84495.0,12.9,High School,0,38.1,Engineering,ENG:::ING,1
125638.0,32.1,Bachelor,0,47.1,Operations,OPE:::ONS,2
89144.0,16.4,High School,0,35.6,Finance,FIN:::NCE,1
53306.0,1.1,Bachelor,0,31.5,Operations,OPE:::ONS,2
89255.0,19.2,Bachelor,0,41.0,Operations,OPE:::ONS,2
73619.0,10.1,Bachelor,0,42.9,Operations,OPE:::ONS,2
103040.0,27.4,High School,0,41.9,Finance,FIN:::NCE,1
,19.7,Bachelor,0,37.5,Operations,OPE:::ONS,2
102185.0,12.4,Bachelor,1,37.3,Engineering,ENG:::ING,2
106213.0,19.2,Bachelor,0,36.9,Finance,FIN:::NCE,2
77248.0,14.3,High School,0,39.5,Marketing,MAR:::ING,1
141913.0,33.4,High School,1,43.8,Finance,FIN:::NCE,1
73279.0,3.1,Bachelor,1,25.8,Engineering,ENG:::ING,2
53439.0,3.8,Bachelor,0,33.7,Operations,OPE:::ONS,2
88320.0,17.2,Bachelor,0,38.9,Engineering,ENG:::ING,2
132056.0,33.4,Master,0,27.9,Finance,FIN:::NCE,3
51133.0,3.8,High School,0,36.7,Marketing,MAR:::ING,1
109657.0,31.6,High School,0,36.0,Marketing,MAR:::ING,1
133355.0,32.1,Bachelor,0,38.5,Finance,FIN:::NCE,2
124681.0,34.7,High School,0,26.9,Operations,OPE:::ONS,1
93119.0,16.5,High School,0,34.1,Engineering,ENG:::ING,1
103314.0,23.3,Master,0,37.4,Operations,OPE:::ONS,3
,31.1,Bachelor,1,35.5,Operations,OPE:::ONS,2
106746.0,16.4,Master,0,41.9,Engineering,ENG:::ING,3
91477.0,12.3,Bachelor,0,33.2,Finance,FIN:::NCE,2
73599.0,1.0,Master,1,38.4,Marketing,MAR:::ING,3
72617.0,2.7,Bachelor,1,33.1,Marketing,MAR:::ING,2
85200.0,16.1,High School,0,35.8,Operations,OPE:::ONS,1
102899.0,16.9,Master,0,32.6,Engineering,ENG:::ING,3
55695.0,2.2,High School,0,34.7,Finance,FIN:::NCE,1
127097.0,27.0,Master,0,31.5,Finance,FIN:::NCE,3
88890.0,13.7,High School,1,48.8,Marketing,MAR:::ING,1
115303.0,29.3,Bachelor,0,39.7,Engineering,ENG:::ING,2
121207.0,29.0,Bachelor,0,29.6,Finance,FIN:::NCE,2
104008.0,21.7,Bachelor,0,44.5,Finance,FIN:::NCE,2
99558.0,14.0,Bachelor,1,40.8,Engineering,ENG:::ING,2
86171.0,10.4,Master,0,30.1,Operations,OPE:::ONS,3
135670.0,29.2,Master,1,29.8,Marketing,MAR:::ING,3
41183.0,1.4,Bachelor,0,29.0,Engineering,ENG:::ING,2
155068.0,32.4,Bachelor,1,46.1,Operations,OPE:::ONS,2
77479.0,16.1,Bachelor,0,35.8,Operations,OPE:::ONS,2
111959.0,24.6,Bachelor,0,29.5,Operations,OPE:::ONS,2
69498.0,10.2,High School,0,41.4,Operations,OPE:::ONS,1
113874.0,32.2,High School,0,52.7,Finance,FIN:::NCE,1
94623.0,8.7,Master,1,32.9,Marketing,MAR:::ING,3
94359.0,21.1,Bachelor,0,40.3,Engineering,ENG:::ING,2
113310.0,29.8,Bachelor,0,40.9,Marketing,MAR:::ING,2
98792.0,16.6,Bachelor,0,35.9,Engineering,ENG:::ING,2
119341.0,34.7,High School,0,29.3,Operations,OPE:::ONS,1
93563.0,23.5,High School,0,36.1,Engineering,ENG:::ING,1
78627.0,12.5,Bachelor,0,32.5,Finance,FIN:::NCE,2
81362.0,13.4,Bachelor,0,25.0,Operations,OPE:::ONS,2
102942.0,17.0,Master,0,42.3,Engineering,ENG:::ING,3
93123.0,20.4,Master,0,35.6,Marketing,MAR:::ING,3
87489.0,12.3,Bachelor,0,33.6,Finance,FIN:::NCE,2
104235.0,28.5,Bachelor,0,41.5,Operations,OPE:::ONS,2
68454.0,7.1,Bachelor,0,45.7,Finance,FIN:::NCE,2
81031.0,9.2,Bachelor,1,34.9,Engineering,ENG:::ING,2
127767.0,22.7,High School,1,48.4,Finance,FIN:::NCE,1
83230.0,10.8,Master,0,32.4,Engineering,ENG:::ING,3
135053.0,34.4,Bachelor,0,51.7,Finance,FIN:::NCE,2
63015.0,2.3,Bachelor,0,38.9,Finance,FIN:::NCE,2
117509.0,23.3,High School,0,33.9,Engineering,ENG:::ING,1
91064.0,16.8,Master,0,40.0,Operations,OPE:::ONS,3
129133.0,25.0,Bachelor,1,33.6,Engineering,ENG:::ING,2
74576.0,9.6,Bachelor,0,43.3,Operations,OPE:::ONS,2
117409.0,29.7,High School,0,31.7,Marketing,MAR:::ING,1
82234.0,14.4,High School,0,40.3,Operations,OPE:::ONS,1
70578.0,14.2,High School,0,20.0,Finance,FIN:::NCE,1
99175.0,16.9,Bachelor,0,33.1,Finance,FIN:::NCE,2
44910.0,0.3,High School,0,27.3,Finance,FIN:::NCE,1
63582.0,2.3,Master,0,48.7,Marketing,MAR:::ING,3
,0.8,Master,0,50.4,Finance,FIN:::NCE,3
87768.0,12.8,Bachelor,0,28.8,Finance,FIN:::NCE,2
116416.0,18.8,Master,1,48.9,Operations,OPE:::ONS,3
77381.0,10.4,Bachelor,0,28.3,Engineering,ENG:::ING,2
80812.0,9.3,Master,0,43.2,Operations,OPE:::ONS,3
138519.0,34.4,High School,1,41.4,Engineering,ENG:::ING,1
63689.0,7.6,Master,0,36.7,Marketing,MAR:::ING,3
117102.0,33.9,Bachelor,0,44.5,Operations,OPE:::ONS,2
75836.0,2.0,Master,1,34.6,Finance,FIN:::NCE,3
62236.0,0.6,Bachelor,0,38.2,Finance,FIN:::NCE,2
56298.0,6.6,High School,0,31.7,Marketing,MAR:::ING,1
150676.0,34.6,Master,1,44.0,Operations,OPE:::ONS,3
60815.0,4.3,Bachelor,0,46.6,Finance,FIN:::NCE,2
,29.5,Bachelor,1,41.8,Engineering,ENG:::ING,2
93113.0,17.1,Bachelor,0,35.4,Operations,OPE:::ONS,2
72436.0,9.1,High School,0,47.8,Engineering,ENG:::ING,1
65306.0,6.2,High School,0,45.4,Operations,OPE:::ONS,1
76322.0,18.8,Master,0,41.5,Engineering,ENG:::ING,3
58329.0,3.6,Master,0,27.5,Operations,OPE:::ONS,3
103794.0,22.2,Bachelor,0,35.0,Marketing,MAR:::ING,2
98291.0,21.9,Bachelor,0,29.7,Finance,FIN:::NCE,2
110367.0,25.4,Bachelor,0,39.2,Finance,FIN:::NCE,2
131428.0,33.8,Bachelor,0,27.8,Finance,FIN:::NCE,2
65500.0,6.3,High School,0,54.0,Operations,OPE:::ONS,1
129975.0,31.5,Bachelor,0,46.8,Engineering,ENG:::ING,2
155265.0,32.5,Master,1,42.7,Finance,FIN:::NCE,3
108905.0,20.1,Master,0,41.3,Finance,FIN:::NCE,3
116731.0,29.5,Bachelor,0,32.3,Marketing,MAR:::ING,2
95649.0,21.6,High School,0,46.2,Operations,OPE:::ONS,1
143423.0,34.8,High School,1,46.0,Finance,FIN:::NCE,1
70797.0,1.5,Master,0,35.2,Finance,FIN:::NCE,3
91411.0,13.0,High School,0,44.2,Engineering,ENG:::ING,1
71009.0,0.2,Master,0,31.1,Engineering,ENG:::ING,3
99061.0,22.3,Bachelor,0,33.0,Marketing,MAR:::ING,2
100113.0,15.8,Master,0,49.0,Finance,FIN:::NCE,3
64448.0,8.7,Bachelor,0,34.3,Marketing,MAR:::ING,2
80310.0,11.2,Master,0,43.9,Marketing,MAR:::ING,3
111551.0,11.1,Bachelor,1,49.7,Finance,FIN:::NCE,2
70616.0,13.3,High School,0,44.1,Operations,OPE:::ONS,1
75467.0,14.1,High School,0,30.7,Marketing,MAR:::ING,1
87880.0,9.3,Master,0,50.1,Engineering,ENG:::ING,3
127506.0,24.7,Bachelor,1,38.3,Finance,FIN:::NCE,2
109579.0,23.6,High School,1,39.9,Engineering,ENG:::ING,1
,14.4,Bachelor,0,42.9,Operations,OPE:::ONS,2
144265.0,30.0,Master,1,33.8,Engineering,ENG:::ING,3
114485.0,26.6,Master,0,43.3,Operations,OPE:::ONS,3
108478.0,27.2,High School,0,32.9,Marketing,MAR:::ING,1
77303.0,13.6,High School,0,34.1,Marketing,MAR:::ING,1
125277.0,31.5,High School,0,41.4,Finance,FIN:::NCE,1
127895.0,28.3,Master,1,33.7,Marketing,MAR:::ING,3
89409.0,19.4,High School,0,28.5,Operations,OPE:::ONS,1
113908.0,29.8,Bachelor,0,37.5,Marketing,MAR:::ING,2
125221.0,32.1,Bachelor,0,31.0,Engineering,ENG:::ING,2
133203.0,32.6,Bachelor,0,33.2,Engineering,ENG:::ING,2
120626.0,20.2,Bachelor,1,33.8,Marketing,MAR:::ING,2
105606.0,19.3,Master,0,36.7,Marketing,MAR:::ING,3
128859.0,27.0,Master,1,35.7,Marketing,MAR:::ING,3
65229.0,4.7,High School,0,31.5,Finance,FIN:::NCE,1
115758.0,26.1,Bachelor,0,26.7,Finance,FIN:::NCE,2
83648.0,15.5,Bachelor,0,42.4,Engineering,ENG:::ING,2
125301.0,19.5,Bachelor,1,47.2,Engineering,ENG:::ING,2
123635.0,31.6,Bachelor,0,43.3,Engineering,ENG:::ING,2
139973.0,33.5,Master,0,53.6,Engineering,ENG:::ING,3
98389.0,13.9,Master,0,43.9,Engineering,ENG:::ING,3
73905.0,5.2,Bachelor,0,35.4,Operations,OPE:::ONS,2
106852.0,23.6,High School,0,60.0,Finance,FIN:::NCE,1
76510.0,18.6,High School,0,35.7,Operations,OPE:::ONS,1
117162.0,28.8,Bachelor,0,36.5,Engineering,ENG:::ING,2
86851.0,13.6,Bachelor,0,35.7,Finance,FIN:::NCE,2
85387.0,16.5,Bachelor,0,43.7,Marketing,MAR:::ING,2
52530.0,1.0,Master,0,37.3,Operations,OPE:::ONS,3
94358.0,19.3,High School,0,35.4,Operations,OPE:::ONS,1
109477.0,22.5,Bachelor,0,49.7,Operations,OPE:::ONS,2
80356.0,8.5,Bachelor,0,37.9,Engineering,ENG:::ING,2
83339.0,18.9,Bachelor,0,25.3,Engineering,ENG:::ING,2
,24.5,High School,1,44.7,Engineering,ENG:::ING,1
85132.0,12.7,High School,0,35.5,Finance,FIN:::NCE,1
66086.0,14.7,High School,0,37.0,Operations,OPE:::ONS,1
53558.0,4.0,High School,0,38.7,Marketing,MAR:::ING,1
136706.0,29.2,Bachelor,1,42.5,Engineering,ENG:::ING,2
108603.0,21.6,Master,0,45.3,Finance,FIN:::NCE,3
65129.0,9.8,High School,0,39.3,Finance,FIN:::NCE,1
53961.0,2.8,Master,0,29.5,Marketing,MAR:::ING,3
73309.0,12.9,High School,0,43.2,Finance,FIN:::NCE,1
78436.0,13.7,High School,0,32.7,Marketing,MAR:::ING,1
55206.0,5.0,High School,0,43.0,Engineering,ENG:::ING,1
115540.0,24.7,Master,0,33.1,Operations,OPE:::ONS,3
106924.0,26.0,Bachelor,0,32.5,Engineering,ENG:::ING,2
98304.0,21.5,High School,0,40.7,Finance,FIN:::NCE,1
136581.0,28.1,Master,0,39.4,Engineering,ENG:::ING,3
106096.0,28.0,Bachelor,0,41.9,Operations,OPE:::ONS,2
135396.0,26.4,Master,1,36.3,Marketing,MAR:::ING,3
118835.0,27.2,Bachelor,0,38.4,Operations,OPE:::ONS,2
97881.0,20.0,High School,0,30.7,Engineering,ENG:::ING,1
108591.0,28.7,Bachelor,0,36.3,Finance,FIN:::NCE,2
72942.0,14.0,High School,0,41.2,Engineering,ENG:::ING,1
101864.0,17.9,Bachelor,0,37.7,Finance,FIN:::NCE,2
83350.0,15.2,Bachelor,0,45.4,Marketing,MAR:::ING,2
114161.0,25.6,Master,0,34.3,Marketing,MAR:::ING,3
89383.0,6.4,High School,1,30.8,Marketing,MAR:::ING,1
123462.0,28.9,High School,0,46.0,Finance,FIN:::NCE,1
108278.0,25.9,Bachelor,0,50.3,Operations,OPE:::ONS,2
79864.0,16.1,High School,0,37.6,Engineering,ENG:::ING,1
112780.0,29.1,Bachelor,0,49.7,Marketing,MAR:::ING,2
105835.0,24.2,High School,0,42.1,Engineering,ENG:::ING,1
118603.0,34.9,High School,0,39.9,Operations,OPE:::ONS,1
111587.0,30.1,Bachelor,0,33.5,Engineering,ENG:::ING,2
76309.0,11.6,High School,0,36.8,Engineering,ENG:::ING,1
76564.0,7.5,Master,0,38.4,Marketing,MAR:::ING,3
68117.0,3.8,Bachelor,0,38.8,Finance,FIN:::NCE,2
61509.0,7.6,High School,0,42.5,Marketing,MAR:::ING,1
88827.0,14.3,High School,0,54.7,Operations,OPE:::ONS,1
111449.0,28.3,Bachelor,0,36.1,Engineering,ENG:::ING,2
106179.0,19.5,Bachelor,1,42.6,Engineering,ENG:::ING,2
107030.0,20.5,Master,0,41.3,Marketing,MAR:::ING,3
48931.0,1.6,High School,0,44.5,Operations,OPE:::ONS,1
100611.0,24.9,Bachelor,0,41.5,Finance,FIN:::NCE,2
35764.0,5.2,High School,0,28.7,Operations,OPE:::ONS,1
101443.0,18.5,Bachelor,0,42.6,Engineering,ENG:::ING,2
79214.0,1.5,Master,0,34.2,Operations,OPE:::ONS,3
,22.6,High School,0,30.4,Engineering,ENG:::ING,1
107005.0,22.6,Bachelor,0,46.5,Finance,FIN:::NCE,2
77991.0,8.0,High School,0,44.6,Finance,FIN:::NCE,1
62312.0,0.2,Master,0,30.1,Marketing,MAR:::ING,3
97034.0,13.7,Bachelor,1,42.6,Operations,OPE:::ONS,2
90380.0,13.4,Bachelor,0,38.1,Finance,FIN:::NCE,2
93698.0,19.7,Bachelor,0,44.4,Marketing,MAR:::ING,2
48934.0,4.0,High School,0,36.0,Marketing,MAR:::ING,1
95519.0,19.5,Bachelor,0,28.6,Finance,FIN:::NCE,2
133277.0,29.1,Master,0,41.6,Finance,FIN:::NCE,3
125522.0,33.1,Bachelor,0,35.4,Engineering,ENG:::ING,2
70451.0,1.9,Bachelor,0,44.7,Finance,FIN:::NCE,2
107029.0,24.2,High School,1,28.6,Finance,FIN:::NCE,1
121370.0,33.2,High School,0,38.7,Engineering,ENG:::ING,1
74371.0,15.6,Master,0,31.2,Marketing,MAR:::ING,3
77519.0,5.8,Bachelor,0,47.4,Finance,FIN:::NCE,2
99943.0,26.8,High School,0,42.8,Operations,OPE:::ONS,1
124177.0,33.2,Master,0,29.2,Marketing,MAR:::ING,3
86221.0,7.7,Bachelor,1,35.1,Marketing,MAR:::ING,2
127485.0,30.2,Master,0,37.6,Operations,OPE:::ONS,3
98968.0,24.1,Bachelor,0,44.9,Marketing,MAR:::ING,2
103405.0,13.0,Master,1,43.7,Engineering,ENG:::ING,3
87651.0,9.9,Bachelor,0,44.4,Finance,FIN:::NCE,2
75477.0,11.0,Bachelor,0,36.5,Marketing,MAR:::ING,2
142069.0,31.5,Bachelor,1,34.0,Operations,OPE:::ONS,2
82799.0,4.8,Bachelor,0,35.1,Finance,FIN:::NCE,2
115484.0,26.3,Master,0,27.2,Engineering,ENG:::ING,3
87925.0,5.6,Bachelor,1,31.5,Marketing,MAR:::ING,2
98053.0,15.7,Bachelor,0,35.1,Engineering,ENG:::ING,2
61704.0,10.5,High School,0,25.7,Operations,OPE:::ONS,1
104444.0,26.1,High School,0,48.5,Marketing,MAR:::ING,1
85504.0,4.5,Master,0,39.0,Finance,FIN:::NCE,3
107385.0,21.1,Bachelor,0,46.2,Operations,OPE:::ONS,2
86652.0,15.9,Master,0,35.7,Marketing,MAR:::ING,3
111420.0,27.2,Bachelor,0,36.2,Marketing,MAR:::ING,2
57803.0,9.7,Bachelor,0,46.5,Operations,OPE:::ONS,2
147650.0,34.2,Master,1,37.9,Engineering,ENG:::ING,3
127415.0,24.3,Master,0,39.6,Operations,OPE:::ONS,3
93588.0,20.3,Bachelor,0,37.4,Marketing,MAR:::ING,2
68473.0,3.6,High School,0,49.8,Operations,OPE:::ONS,1
118354.0,16.6,Master,1,36.2,Marketing,MAR:::ING,3
115938.0,30.9,High School,0,50.0,Marketing,MAR:::ING,1
94982.0,27.4,Bachelor,0,27.0,Operations,OPE:::ONS,2
146133.0,26.8,Master,1,28.9,Finance,FIN:::NCE,3
63624.0,4.4,Bachelor,0,51.0,Engineering,ENG:::ING,2
105996.0,24.1,Bachelor,0,32.3,Finance,FIN:::NCE,2
89904.0,5.8,Master,1,36.1,Engineering,ENG:::ING,3
51680.0,4.9,Bachelor,0,40.3,Marketing,MAR:::ING,2
142522.0,34.4,Bachelor,1,30.7,Marketing,MAR:::ING,2
67008.0,9.7,Bachelor,0,37.8,Marketing,MAR:::ING,2
49997.0,0.5,High School,0,37.4,Engineering,ENG:::ING,1
70867.0,6.5,High School,0,36.1,Finance,FIN:::NCE,1
91847.0,14.9,Master,0,37.5,Marketing,MAR:::ING,3
76216.0,14.5,High School,0,35.6,Operations,OPE:::ONS,1
103740.0,17.0,Master,0,42.3,Finance,FIN:::NCE,3
130991.0,30.8,Bachelor,0,45.8,Operations,OPE:::ONS,2
107476.0,23.7,High School,0,41.2,Marketing,MAR:::ING,1
105764.0,16.9,Master,1,34.1,Finance,FIN:::NCE,3
83932.0,16.8,Bachelor,0,49.6,Engineering,ENG:::ING,2
73990.0,6.5,Master,0,42.8,Engineering,ENG:::ING,3
82288.0,14.3,Bachelor,0,41.9,Operations,OPE:::ONS,2
61160.0,11.5,Master,0,29.3,Marketing,MAR:::ING,3
83788.0,13.5,High School,0,41.7,Finance,FIN:::NCE,1
73946.0,17.7,Bachelor,0,39.7,Operations,OPE:::ONS,2
71358.0,12.4,Bachelor,0,46.6,Finance,FIN:::NCE,2
,18.9,Master,1,30.0,Engineering,ENG:::ING,3
113268.0,23.7,Bachelor,0,37.7,Finance,FIN:::NCE,2
139936.0,33.0,Master,0,43.6,Engineering,ENG:::ING,3
140159.0,32.2,High School,1,29.6,Marketing,MAR:::ING,1
106905.0,21.4,Bachelor,0,36.1,Engineering,ENG:::ING,2
71468.0,6.6,Master,0,37.0,Marketing,MAR:::ING,3
139882.0,34.1,Bachelor,0,38.9,Engineering,ENG:::ING,2
106682.0,24.2,Master,0,35.3,Marketing,MAR:::ING,3
92759.0,16.0,Bachelor,0,34.0,Operations,OPE:::ONS,2
72857.0,8.8,Bachelor,0,38.5,Finance,FIN:::NCE,2
117401.0,32.0,High School,0,45.4,Operations,OPE:::ONS,1
131679.0,31.5,Master,0,35.2,Operations,OPE:::ONS,3
52987.0,2.4,Bachelor,0,34.4,Finance,FIN:::NCE,2
68239.0,4.9,Bachelor,0,39.6,Operations,OPE:::ONS,2
77034.0,8.0,Bachelor,0,32.2,Finance,FIN:::NCE,2
116919.0,28.3,High School,0,45.6,Engineering,ENG:::ING,1
94987.0,8.9,High School,1,36.7,Finance,FIN:::NCE,1
116045.0,22.6,High School,0,43.5,Finance,FIN:::NCE,1
113656.0,20.0,Bachelor,0,50.3,Finance,FIN:::NCE,2
61697.0,4.4,Bachelor,0,38.9,Operations,OPE:::ONS,2
68624.0,9.1,High School,0,35.0,Operations,OPE:::ONS,1
116594.0,25.0,Master,0,41.9,Operations,OPE:::ONS,3
133045.0,32.8,Master,0,34.2,Engineering,ENG:::ING,3
109728.0,26.3,Bachelor,0,44.4,Marketing,MAR:::ING,2
100461.0,20.3,Bachelor,0,42.8,Operations,OPE:::ONS,2
69648.0,12.7,High School,0,36.7,Marketing,MAR:::ING,1
