annual_spend,visit_frequency_month,avg_basket_size,loyalty_years,segment,segment_label
3733.0,10.7,38.3,6.5,1,Premium Loyalist
5231.0,12.5,40.8,8.5,1,Premium Loyalist
925.0,13.6,12.2,2.6,0,Budget Shopper
1187.0,13.5,26.9,1.4,0,Budget Shopper
7152.0,5.5,64.2,5.2,2,Whale
5260.0,11.1,65.8,6.2,1,Premium Loyalist
8739.0,6.5,135.0,0.1,2,Whale
9028.0,5.0,120.8,7.0,2,Whale
8686.0,4.6,147.5,7.3,2,Whale
10006.0,2.2,110.1,5.7,2,Whale
1280.0,5.6,21.7,3.3,0,Budget Shopper
968.0,15.2,18.8,0.1,0,Budget Shopper
7592.0,7.7,20.9,7.6,2,Whale
1221.0,17.7,6.3,2.6,0,Budget Shopper
812.0,20.5,18.6,3.6,0,Budget Shopper
8255.0,4.9,116.9,4.3,2,Whale
1445.0,10.4,23.9,3.0,0,Budget Shopper
3720.0,13.6,56.7,4.1,1,Premium Loyalist
4989.0,8.5,61.8,10.4,1,Premium Loyalist
1342.0,4.9,12.9,1.7,0,Budget Shopper
4470.0,3.5,42.1,5.2,1,Premium Loyalist
3838.0,8.2,56.6,6.8,1,Premium Loyalist
4360.0,12.2,61.4,13.9,1,Premium Loyalist
1334.0,19.8,16.8,2.2,0,Budget Shopper
9406.0,3.9,95.8,1.8,2,Whale
1264.0,12.6,25.3,3.3,0,Budget Shopper
1805.0,11.9,33.7,2.2,0,Budget Shopper
5903.0,11.6,32.4,9.5,1,Premium Loyalist
5007.0,10.9,76.3,7.2,1,Premium Loyalist
1666.0,18.5,29.2,2.9,0,Budget Shopper
1403.0,17.5,14.5,1.3,0,Budget Shopper
1353.0,15.9,6.0,3.4,0,Budget Shopper
1368.0,19.4,19.1,3.3,0,Budget Shopper
4830.0,5.9,40.1,7.9,1,Premium Loyalist
895.0,17.3,21.9,3.1,0,Budget Shopper
7466.0,5.1,86.9,8.7,2,Whale
5164.0,9.8,78.1,7.3,1,Premium Loyalist
3267.0,10.4,77.5,7.3,1,Premium Loyalist
1053.0,12.8,15.8,3.2,0,Budget Shopper
1448.0,15.0,14.2,2.3,0,Budget Shopper
3783.0,9.1,54.2,6.4,1,Premium Loyalist
5279.0,8.2,58.1,4.9,1,Premium Loyalist
12861.0,3.9,118.0,7.3,2,Whale
4692.0,8.2,44.5,8.7,1,Premium Loyalist
1556.0,9.5,9.0,1.9,0,Budget Shopper
8907.0,7.6,98.7,3.4,2,Whale
4464.0,11.2,53.1,7.4,1,Premium Loyalist
4104.0,7.6,57.8,8.4,1,Premium Loyalist
10602.0,7.7,89.8,2.8,2,Whale
839.0,16.1,23.8,4.5,0,Budget Shopper
3980.0,7.9,70.8,8.5,1,Premium Loyalist
7440.0,4.6,194.5,4.7,2,Whale
1181.0,14.0,8.5,1.5,0,Budget Shopper
4828.0,8.5,60.5,7.3,1,Premium Loyalist
8855.0,8.0,155.6,3.3,2,Whale
3700.0,18.6,68.3,7.3,1,Premium Loyalist
5093.0,11.7,52.4,10.7,1,Premium Loyalist
1521.0,0.7,18.5,1.3,0,Budget Shopper
3083.0,13.2,54.5,8.5,1,Premium Loyalist
1239.0,12.0,17.9,3.3,0,Budget Shopper
935.0,20.5,24.0,5.8,0,Budget Shopper
1468.0,10.4,33.9,2.0,0,Budget Shopper
3363.0,6.2,43.6,8.7,1,Premium Loyalist
5188.0,9.9,58.7,7.8,1,Premium Loyalist
8332.0,9.2,118.6,3.0,2,Whale
1045.0,16.5,28.3,2.0,0,Budget Shopper
6520.0,6.1,102.6,4.5,2,Whale
5365.0,12.2,62.6,4.6,1,Premium Loyalist
5421.0,14.4,32.4,3.9,1,Premium Loyalist
3905.0,7.2,59.1,7.2,1,Premium Loyalist
4152.0,10.8,34.5,11.4,1,Premium Loyalist
8574.0,2.7,161.8,4.2,2,Whale
859.0,16.3,11.6,3.4,0,Budget Shopper
1404.0,13.2,26.0,4.1,0,Budget Shopper
921.0,11.8,27.1,2.1,0,Budget Shopper
1299.0,18.4,5.0,2.2,0,Budget Shopper
1586.0,16.0,14.6,0.8,0,Budget Shopper
1254.0,18.9,32.1,1.6,0,Budget Shopper
12529.0,1.0,153.7,5.2,2,Whale
1246.0,12.6,15.6,3.3,0,Budget Shopper
960.0,13.8,25.0,4.1,0,Budget Shopper
1260.0,17.5,29.9,3.2,0,Budget Shopper
6677.0,8.8,60.4,3.9,2,Whale
13952.0,6.1,92.5,7.4,2,Whale
5566.0,11.9,51.9,3.8,1,Premium Loyalist
4339.0,10.7,42.9,6.2,1,Premium Loyalist
8192.0,5.4,145.6,6.2,2,Whale
4362.0,12.2,63.0,9.8,1,Premium Loyalist
4393.0,8.8,63.1,4.4,1,Premium Loyalist
3764.0,8.7,66.0,4.3,1,Premium Loyalist
5086.0,5.7,46.5,11.6,1,Premium Loyalist
9598.0,7.5,128.7,3.3,2,Whale
4482.0,11.4,47.1,7.1,1,Premium Loyalist
9036.0,8.5,125.1,4.4,2,Whale
10243.0,6.0,130.1,4.0,2,Whale
12498.0,6.8,191.4,2.9,2,Whale
4450.0,10.1,34.6,9.6,1,Premium Loyalist
4531.0,11.6,53.0,8.4,1,Premium Loyalist
4737.0,13.3,74.5,9.4,1,Premium Loyalist
1350.0,14.3,6.4,2.2,0,Budget Shopper
4651.0,7.8,34.0,10.4,1,Premium Loyalist
4110.0,7.9,78.4,5.0,1,Premium Loyalist
8933.0,3.8,161.4,0.6,2,Whale
3413.0,10.3,47.2,8.3,1,Premium Loyalist
881.0,22.6,28.5,2.2,0,Budget Shopper
1225.0,12.7,9.0,3.1,0,Budget Shopper
1775.0,9.8,17.7,0.3,0,Budget Shopper
1863.0,5.3,22.6,4.5,0,Budget Shopper
1111.0,10.0,32.3,5.2,0,Budget Shopper
3913.0,12.2,62.4,10.0,1,Premium Loyalist
937.0,19.1,29.6,2.0,0,Budget Shopper
5367.0,11.3,30.7,7.5,1,Premium Loyalist
1126.0,16.6,26.6,5.3,0,Budget Shopper
8425.0,7.1,13.6,6.8,2,Whale
840.0,17.9,19.7,1.0,0,Budget Shopper
7983.0,5.2,102.9,3.8,2,Whale
4577.0,10.8,78.0,6.9,1,Premium Loyalist
5355.0,6.0,62.9,11.1,1,Premium Loyalist
1242.0,14.1,29.3,0.6,0,Budget Shopper
8954.0,5.7,81.1,7.5,2,Whale
1025.0,14.5,21.4,2.1,0,Budget Shopper
3186.0,11.2,60.5,7.8,1,Premium Loyalist
3872.0,6.9,45.6,6.9,1,Premium Loyalist
7631.0,5.6,127.2,0.7,2,Whale
9999.0,10.4,134.8,5.1,2,Whale
1439.0,18.0,35.0,1.5,0,Budget Shopper
8150.0,2.6,124.4,2.6,2,Whale
7805.0,8.2,108.3,4.0,2,Whale
10357.0,7.9,106.5,8.6,2,Whale
5461.0,9.7,28.7,6.2,1,Premium Loyalist
1253.0,10.8,16.3,2.6,0,Budget Shopper
1559.0,12.2,5.0,4.2,0,Budget Shopper
4627.0,8.9,67.6,7.0,1,Premium Loyalist
3978.0,7.7,69.9,5.5,1,Premium Loyalist
11625.0,7.4,98.7,8.4,2,Whale
3615.0,10.9,62.9,9.8,1,Premium Loyalist
4527.0,12.6,60.3,6.1,1,Premium Loyalist
1096.0,16.8,16.1,2.0,0,Budget Shopper
1913.0,18.4,19.1,3.4,0,Budget Shopper
12580.0,5.5,114.0,4.1,2,Whale
5691.0,12.6,56.9,6.7,1,Premium Loyalist
5493.0,8.0,77.1,7.5,1,Premium Loyalist
1253.0,6.8,21.7,1.8,0,Budget Shopper
8804.0,5.6,142.5,6.4,2,Whale
3568.0,12.0,54.6,6.5,1,Premium Loyalist
4638.0,4.9,59.2,9.8,1,Premium Loyalist
2380.0,7.5,58.7,5.7,1,Premium Loyalist
4785.0,10.7,62.6,5.4,1,Premium Loyalist
10842.0,6.6,172.5,8.2,2,Whale
4229.0,9.9,60.3,5.5,1,Premium Loyalist
10295.0,7.3,78.0,5.5,2,Whale
1223.0,13.2,19.6,3.3,0,Budget Shopper
1210.0,22.5,12.8,5.6,0,Budget Shopper
1193.0,15.4,17.5,2.6,0,Budget Shopper
5511.0,7.1,129.3,7.4,2,Whale
1405.0,12.3,33.6,4.4,0,Budget Shopper
12879.0,0.5,47.4,6.6,2,Whale
901.0,9.7,19.9,3.0,0,Budget Shopper
7372.0,3.8,178.6,3.5,2,Whale
4594.0,4.4,47.7,10.4,1,Premium Loyalist
737.0,11.1,25.8,1.5,0,Budget Shopper
9245.0,7.4,170.6,3.9,2,Whale
1048.0,8.1,15.5,0.1,0,Budget Shopper
3250.0,11.8,52.3,7.4,1,Premium Loyalist
1128.0,15.8,22.7,2.4,0,Budget Shopper
1053.0,16.2,8.0,1.0,0,Budget Shopper
4994.0,9.1,18.4,7.4,1,Premium Loyalist
7418.0,5.8,144.8,3.6,2,Whale
1169.0,14.8,13.2,4.6,0,Budget Shopper
