salary,experience,education,is_manager,hours,department,dept_abbr
84439.0,21.1,Bachelor,0,37.4,Marketing,MAR
84203.0,7.5,Master,0,33.3,Finance,FIN
104775.0,28.1,Bachelor,0,33.7,Marketing,MAR
104616.0,24.0,Bachelor,0,35.7,Finance,FIN
84495.0,12.9,High School,0,38.1,Engineering,ENG
125638.0,32.1,Bachelor,0,47.1,Operations,OPE
89144.0,16.4,High School,0,35.6,Finance,FIN
53306.0,1.1,Bachelor,0,31.5,Operations,OPE
89255.0,19.2,Bachelor,0,41.0,Operations,OPE
73619.0,10.1,Bachelor,0,42.9,Operations,OPE
103040.0,27.4,High School,0,41.9,Finance,FIN
102185.0,12.4,Bachelor,1,37.3,Engineering,ENG
106213.0,19.2,Bachelor,0,36.9,Finance,FIN
77248.0,14.3,High School,0,39.5,Marketing,MAR
141913.0,33.4,High School,1,43.8,Finance,FIN
73279.0,3.1,Bachelor,1,25.8,Engineering,ENG
53439.0,3.8,Bachelor,0,33.7,Operations,OPE
88320.0,17.2,Bachelor,0,38.9,Engineering,ENG
132056.0,33.4,Master,0,27.9,Finance,FIN
51133.0,3.8,High School,0,36.7,Marketing,MAR
109657.0,31.6,High School,0,36.0,Marketing,MAR
133355.0,32.1,Bachelor,0,38.5,Finance,FIN
124681.0,34.7,High School,0,26.9,Operations,OPE
93119.0,16.5,High School,0,34.1,Engineering,ENG
103314.0,23.3,Master,0,37.4,Operations,OPE
106746.0,16.4,Master,0,41.9,Engineering,ENG
91477.0,12.3,Bachelor,0,33.2,Finance,FIN
73599.0,1.0,Master,1,38.4,Marketing,MAR
72617.0,2.7,Bachelor,1,33.1,Marketing,MAR
85200.0,16.1,High School,0,35.8,Operations,OPE
102899.0,16.9,Master,0,32.6,Engineering,ENG
55695.0,2.2,High School,0,34.7,Finance,FIN
127097.0,27.0,Master,0,31.5,Finance,FIN
88890.0,13.7,High School,1,48.8,Marketing,MAR
115303.0,29.3,Bachelor,0,39.7,Engineering,ENG
121207.0,29.0,Bachelor,0,29.6,Finance,FIN
104008.0,21.7,Bachelor,0,44.5,Finance,FIN
99558.0,14.0,Bachelor,1,40.8,Engineering,ENG
86171.0,10.4,Master,0,30.1,Operations,OPE
135670.0,29.2,Master,1,29.8,Marketing,MAR
41183.0,1.4,Bachelor,0,29.0,Engineering,ENG
155068.0,32.4,Bachelor,1,46.1,Operations,OPE
77479.0,16.1,Bachelor,0,35.8,Operations,OPE
111959.0,24.6,Bachelor,0,29.5,Operations,OPE
69498.0,10.2,High School,0,41.4,Operations,OPE
113874.0,32.2,High School,0,52.7,Finance,FIN
94623.0,8.7,Master,1,32.9,Marketing,MAR
94359.0,21.1,Bachelor,0,40.3,Engineering,ENG
113310.0,29.8,Bachelor,0,40.9,Marketing,MAR
98792.0,16.6,Bachelor,0,35.9,Engineering,ENG
119341.0,34.7,High School,0,29.3,Operations,OPE
93563.0,23.5,High School,0,36.1,Engineering,ENG
78627.0,12.5,Bachelor,0,32.5,Finance,FIN
81362.0,13.4,Bachelor,0,25.0,Operations,OPE
102942.0,17.0,Master,0,42.3,Engineering,ENG
93123.0,20.4,Master,0,35.6,Marketing,MAR
87489.0,12.3,Bachelor,0,33.6,Finance,FIN
104235.0,28.5,Bachelor,0,41.5,Operations,OPE
68454.0,7.1,Bachelor,0,45.7,Finance,FIN
81031.0,9.2,Bachelor,1,34.9,Engineering,ENG
127767.0,22.7,High School,1,48.4,Finance,FIN
83230.0,10.8,Master,0,32.4,Engineering,ENG
135053.0,34.4,Bachelor,0,51.7,Finance,FIN
63015.0,2.3,Bachelor,0,38.9,Finance,FIN
117509.0,23.3,High School,0,33.9,Engineering,ENG
91064.0,16.8,Master,0,40.0,Operations,OPE
129133.0,25.0,Bachelor,1,33.6,Engineering,ENG
74576.0,9.6,Bachelor,0,43.3,Operations,OPE
117409.0,29.7,High School,0,31.7,Marketing,MAR
82234.0,14.4,High School,0,40.3,Operations,OPE
70578.0,14.2,High School,0,20.0,Finance,FIN
99175.0,16.9,Bachelor,0,33.1,Finance,FIN
44910.0,0.3,High School,0,27.3,Finance,FIN
63582.0,2.3,Master,0,48.7,Marketing,MAR
87768.0,12.8,Bachelor,0,28.8,Finance,FIN
116416.0,18.8,Master,1,48.9,Operations,OPE
77381.0,10.4,Bachelor,0,28.3,Engineering,ENG
80812.0,9.3,Master,0,43.2,Operations,OPE
138519.0,34.4,High School,1,41.4,Engineering,ENG
63689.0,7.6,Master,0,36.7,Marketing,MAR
117102.0,33.9,Bachelor,0,44.5,Operations,OPE
75836.0,2.0,Master,1,34.6,Finance,FIN
62236.0,0.6,Bachelor,0,38.2,Finance,FIN
56298.0,6.6,High School,0,31.7,Marketing,MAR
150676.0,34.6,Master,1,44.0,Operations,OPE
60815.0,4.3,Bachelor,0,46.6,Finance,FIN
93113.0,17.1,Bachelor,0,35.4,Operations,OPE
72436.0,9.1,High School,0,47.8,Engineering,ENG
65306.0,6.2,High School,0,45.4,Operations,OPE
76322.0,18.8,Master,0,41.5,Engineering,ENG
58329.0,3.6,Master,0,27.5,Operations,OPE
103794.0,22.2,Bachelor,0,35.0,Marketing,MAR
98291.0,21.9,Bachelor,0,29.7,Finance,FIN
110367.0,25.4,Bachelor,0,39.2,Finance,FIN
131428.0,33.8,Bachelor,0,27.8,Finance,FIN
65500.0,6.3,High School,0,54.0,Operations,OPE
129975.0,31.5,Bachelor,0,46.8,Engineering,ENG
155265.0,32.5,Master,1,42.7,Finance,FIN
108905.0,20.1,Master,0,41.3,Finance,FIN
116731.0,29.5,Bachelor,0,32.3,Marketing,MAR
95649.0,21.6,High School,0,46.2,Operations,OPE
143423.0,34.8,High School,1,46.0,Finance,FIN
70797.0,1.5,Master,0,35.2,Finance,FIN
91411.0,13.0,High School,0,44.2,Engineering,ENG
71009.0,0.2,Master,0,31.1,Engineering,ENG
99061.0,22.3,Bachelor,0,33.0,Marketing,MAR
100113.0,15.8,Master,0,49.0,Finance,FIN
64448.0,8.7,Bachelor,0,34.3,Marketing,MAR
80310.0,11.2,Master,0,43.9,Marketing,MAR
111551.0,11.1,Bachelor,1,49.7,Finance,FIN
70616.0,13.3,High School,0,44.1,Operations,OPE
75467.0,14.1,High School,0,30.7,Marketing,MAR
87880.0,9.3,Master,0,50.1,Engineering,ENG
127506.0,24.7,Bachelor,1,38.3,Finance,FIN
109579.0,23.6,High School,1,39.9,Engineering,ENG
144265.0,30.0,Master,1,33.8,Engineering,ENG
114485.0,26.6,Master,0,43.3,Operations,OPE
108478.0,27.2,High School,0,32.9,Marketing,MAR
77303.0,13.6,High School,0,34.1,Marketing,MAR
125277.0,31.5,High School,0,41.4,Finance,FIN
127895.0,28.3,Master,1,33.7,Marketing,MAR
89409.0,19.4,High School,0,28.5,Operations,OPE
113908.0,29.8,Bachelor,0,37.5,Marketing,MAR
125221.0,32.1,Bachelor,0,31.0,Engineering,ENG
133203.0,32.6,Bachelor,0,33.2,Engineering,ENG
120626.0,20.2,Bachelor,1,33.8,Marketing,MAR
105606.0,19.3,Master,0,36.7,Marketing,MAR
128859.0,27.0,Master,1,35.7,Marketing,MAR
65229.0,4.7,High School,0,31.5,Finance,FIN
115758.0,26.1,Bachelor,0,26.7,Finance,FIN
83648.0,15.5,Bachelor,0,42.4,Engineering,ENG
125301.0,19.5,Bachelor,1,47.2,Engineering,ENG
123635.0,31.6,Bachelor,0,43.3,Engineering,ENG
139973.0,33.5,Master,0,53.6,Engineering,ENG
98389.0,13.9,Master,0,43.9,Engineering,ENG
73905.0,5.2,Bachelor,0,35.4,Operations,OPE
106852.0,23.6,High School,0,60.0,Finance,FIN
76510.0,18.6,High School,0,35.7,Operations,OPE
117162.0,28.8,Bachelor,0,36.5,Engineering,ENG
86851.0,13.6,Bachelor,0,35.7,Finance,FIN
85387.0,16.5,Bachelor,0,43.7,Marketing,MAR
52530.0,1.0,Master,0,37.3,Operations,OPE
94358.0,19.3,High School,0,35.4,Operations,OPE
109477.0,22.5,Bachelor,0,49.7,Operations,OPE
80356.0,8.5,Bachelor,0,37.9,Engineering,ENG
83339.0,18.9,Bachelor,0,25.3,Engineering,ENG
85132.0,12.7,High School,0,35.5,Finance,FIN
66086.0,14.7,High School,0,37.0,Operations,OPE
53558.0,4.0,High School,0,38.7,Marketing,MAR
136706.0,29.2,Bachelor,1,42.5,Engineering,ENG
108603.0,21.6,Master,0,45.3,Finance,FIN
65129.0,9.8,High School,0,39.3,Finance,FIN
53961.0,2.8,Master,0,29.5,Marketing,MAR
73309.0,12.9,High School,0,43.2,Finance,FIN
78436.0,13.7,High School,0,32.7,Marketing,MAR
55206.0,5.0,High School,0,43.0,Engineering,ENG
115540.0,24.7,Master,0,33.1,Operations,OPE
106924.0,26.0,Bachelor,0,32.5,Engineering,ENG
98304.0,21.5,High School,0,40.7,Finance,FIN
136581.0,28.1,Master,0,39.4,Engineering,ENG
106096.0,28.0,Bachelor,0,41.9,Operations,OPE
135396.0,26.4,Master,1,36.3,Marketing,MAR
118835.0,27.2,Bachelor,0,38.4,Operations,OPE
97881.0,20.0,High School,0,30.7,Engineering,ENG
108591.0,28.7,Bachelor,0,36.3,Finance,FIN
72942.0,14.0,High School,0,41.2,Engineering,ENG
101864.0,17.9,Bachelor,0,37.7,Finance,FIN
83350.0,15.2,Bachelor,0,45.4,Marketing,MAR
114161.0,25.6,Master,0,34.3,Marketing,MAR
89383.0,6.4,High School,1,30.8,Marketing,MAR
123462.0,28.9,High School,0,46.0,Finance,FIN
108278.0,25.9,Bachelor,0,50.3,Operations,OPE
79864.0,16.1,High School,0,37.6,Engineering,ENG
112780.0,29.1,Bachelor,0,49.7,Marketing,MAR
105835.0,24.2,High School,0,42.1,Engineering,ENG
118603.0,34.9,High School,0,39.9,Operations,OPE
111587.0,30.1,Bachelor,0,33.5,Engineering,ENG
76309.0,11.6,High School,0,36.8,Engineering,ENG
76564.0,7.5,Master,0,38.4,Marketing,MAR
68117.0,3.8,Bachelor,0,38.8,Finance,FIN
61509.0,7.6,High School,0,42.5,Marketing,MAR
88827.0,14.3,High School,0,54.7,Operations,OPE
111449.0,28.3,Bachelor,0,36.1,Engineering,ENG
106179.0,19.5,Bachelor,1,42.6,Engineering,ENG
107030.0,20.5,Master,0,41.3,Marketing,MAR
48931.0,1.6,High School,0,44.5,Operations,OPE
100611.0,24.9,Bachelor,0,41.5,Finance,FIN
35764.0,5.2,High School,0,28.7,Operations,OPE
101443.0,18.5,Bachelor,0,42.6,Engineering,ENG
79214.0,1.5,Master,0,34.2,Operations,OPE
107005.0,22.6,Bachelor,0,46.5,Finance,FIN
77991.0,8.0,High School,0,44.6,Finance,FIN
62312.0,0.2,Master,0,30.1,Marketing,MAR
97034.0,13.7,Bachelor,1,42.6,Operations,OPE
90380.0,13.4,Bachelor,0,38.1,Finance,FIN
93698.0,19.7,Bachelor,0,44.4,Marketing,MAR
48934.0,4.0,High School,0,36.0,Marketing,MAR
95519.0,19.5,Bachelor,0,28.6,Finance,FIN
133277.0,29.1,Master,0,41.6,Finance,FIN
125522.0,33.1,Bachelor,0,35.4,Engineering,ENG
70451.0,1.9,Bachelor,0,44.7,Finance,FIN
107029.0,24.2,High School,1,28.6,Finance,FIN
121370.0,33.2,High School,0,38.7,Engineering,ENG
74371.0,15.6,Master,0,31.2,Marketing,MAR
77519.0,5.8,Bachelor,0,47.4,Finance,FIN
99943.0,26.8,High School,0,42.8,Operations,OPE
124177.0,33.2,Master,0,29.2,Marketing,MAR
86221.0,7.7,Bachelor,1,35.1,Marketing,MAR
127485.0,30.2,Master,0,37.6,Operations,OPE
98968.0,24.1,Bachelor,0,44.9,Marketing,MAR
103405.0,13.0,Master,1,43.7,Engineering,ENG
87651.0,9.9,Bachelor,0,44.4,Finance,FIN
75477.0,11.0,Bachelor,0,36.5,Marketing,MAR
142069.0,31.5,Bachelor,1,34.0,Operations,OPE
82799.0,4.8,Bachelor,0,35.1,Finance,FIN
115484.0,26.3,Master,0,27.2,Engineering,ENG
87925.0,5.6,Bachelor,1,31.5,Marketing,MAR
98053.0,15.7,Bachelor,0,35.1,Engineering,ENG
61704.0,10.5,High School,0,25.7,Operations,OPE
104444.0,26.1,High School,0,48.5,Marketing,MAR
85504.0,4.5,Master,0,39.0,Finance,FIN
107385.0,21.1,Bachelor,0,46.2,Operations,OPE
86652.0,15.9,Master,0,35.7,Marketing,MAR
111420.0,27.2,Bachelor,0,36.2,Marketing,MAR
57803.0,9.7,Bachelor,0,46.5,Operations,OPE
147650.0,34.2,Master,1,37.9,Engineering,ENG
127415.0,24.3,Master,0,39.6,Operations,OPE
93588.0,20.3,Bachelor,0,37.4,Marketing,MAR
68473.0,3.6,High School,0,49.8,Operations,OPE
118354.0,16.6,Master,1,36.2,Marketing,MAR
115938.0,30.9,High School,0,50.0,Marketing,MAR
94982.0,27.4,Bachelor,0,27.0,Operations,OPE
146133.0,26.8,Master,1,28.9,Finance,FIN
63624.0,4.4,Bachelor,0,51.0,Engineering,ENG
105996.0,24.1,Bachelor,0,32.3,Finance,FIN
89904.0,5.8,Master,1,36.1,Engineering,ENG
51680.0,4.9,Bachelor,0,40.3,Marketing,MAR
142522.0,34.4,Bachelor,1,30.7,Marketing,MAR
67008.0,9.7,Bachelor,0,37.8,Marketing,MAR
49997.0,0.5,High School,0,37.4,Engineering,ENG
70867.0,6.5,High School,0,36.1,Finance,FIN
91847.0,14.9,Master,0,37.5,Marketing,MAR
76216.0,14.5,High School,0,35.6,Operations,OPE
103740.0,17.0,Master,0,42.3,Finance,FIN
130991.0,30.8,Bachelor,0,45.8,Operations,OPE
107476.0,23.7,High School,0,41.2,Marketing,MAR
105764.0,16.9,Master,1,34.1,Finance,FIN
83932.0,16.8,Bachelor,0,49.6,Engineering,ENG
73990.0,6.5,Master,0,42.8,Engineering,ENG
82288.0,14.3,Bachelor,0,41.9,Operations,OPE
61160.0,11.5,Master,0,29.3,Marketing,MAR
83788.0,13.5,High School,0,41.7,Finance,FIN
73946.0,17.7,Bachelor,0,39.7,Operations,OPE
71358.0,12.4,Bachelor,0,46.6,Finance,FIN
113268.0,23.7,Bachelor,0,37.7,Finance,FIN
139936.0,33.0,Master,0,43.6,Engineering,ENG
140159.0,32.2,High School,1,29.6,Marketing,MAR
106905.0,21.4,Bachelor,0,36.1,Engineering,ENG
71468.0,6.6,Master,0,37.0,Marketing,MAR
139882.0,34.1,Bachelor,0,38.9,Engineering,ENG
106682.0,24.2,Master,0,35.3,Marketing,MAR
92759.0,16.0,Bachelor,0,34.0,Operations,OPE
72857.0,8.8,Bachelor,0,38.5,Finance,FIN
117401.0,32.0,High School,0,45.4,Operations,OPE
131679.0,31.5,Master,0,35.2,Operations,OPE
52987.0,2.4,Bachelor,0,34.4,Finance,FIN
68239.0,4.9,Bachelor,0,39.6,Operations,OPE
77034.0,8.0,Bachelor,0,32.2,Finance,FIN
116919.0,28.3,High School,0,45.6,Engineering,ENG
94987.0,8.9,High School,1,36.7,Finance,FIN
116045.0,22.6,High School,0,43.5,Finance,FIN
113656.0,20.0,Bachelor,0,50.3,Finance,FIN
61697.0,4.4,Bachelor,0,38.9,Operations,OPE
68624.0,9.1,High School,0,35.0,Operations,OPE
116594.0,25.0,Master,0,41.9,Operations,OPE
133045.0,32.8,Master,0,34.2,Engineering,ENG
109728.0,26.3,Bachelor,0,44.4,Marketing,MAR
100461.0,20.3,Bachelor,0,42.8,Operations,OPE
69648.0,12.7,High School,0,36.7,Marketing,MAR
119635.0,23.8,High School,0,48.4,Finance,FIN
124608.0,26.0,Master,0,42.9,Marketing,MAR
79770.0,11.2,High School,0,32.8,Engineering,ENG
101531.0,23.0,Bachelor,0,42.4,Marketing,MAR
109228.0,17.3,Master,0,44.6,Marketing,MAR
147243.0,34.2,Bachelor,0,35.4,Finance,FIN
144451.0,30.1,High School,1,35.6,Finance,FIN
69593.0,9.4,High School,0,32.5,Engineering,ENG
114428.0,23.9,High School,1,43.2,Engineering,ENG
107775.0,21.7,High School,0,37.4,Finance,FIN
87735.0,9.4,Bachelor,1,30.8,Marketing,MAR
108762.0,29.6,High School,0,20.8,Engineering,ENG
103410.0,13.4,Master,0,39.4,Engineering,ENG
110502.0,21.8,Master,0,29.7,Finance,FIN
115350.0,24.9,Bachelor,0,38.8,Finance,FIN
131536.0,33.9,Bachelor,0,25.4,Operations,OPE
140574.0,30.3,Master,1,36.7,Operations,OPE
100822.0,21.2,Bachelor,0,43.2,Engineering,ENG
141956.0,34.9,Master,0,46.3,Engineering,ENG
113134.0,28.2,Bachelor,0,34.1,Marketing,MAR
95534.0,22.8,Master,0,37.3,Operations,OPE
80543.0,12.8,Bachelor,0,37.1,Operations,OPE
138136.0,34.3,Bachelor,1,30.9,Engineering,ENG
106518.0,23.7,Bachelor,0,38.8,Finance,FIN
73577.0,8.2,Master,0,34.8,Operations,OPE
116942.0,22.9,Master,0,29.7,Finance,FIN
92147.0,11.3,Master,0,35.2,Finance,FIN
89930.0,16.7,Bachelor,0,40.4,Engineering,ENG
97433.0,17.9,Master,0,51.8,Marketing,MAR
41348.0,0.3,High School,0,24.4,Operations,OPE
75967.0,5.4,High School,1,38.2,Marketing,MAR
56008.0,9.8,High School,0,39.7,Marketing,MAR
87233.0,9.8,Bachelor,1,41.8,Operations,OPE
53936.0,2.9,High School,0,33.1,Finance,FIN
98037.0,19.7,Master,0,34.1,Operations,OPE
130352.0,31.0,Master,1,34.1,Operations,OPE
51302.0,6.5,High School,0,40.2,Marketing,MAR
80317.0,11.2,Master,0,26.3,Finance,FIN
134952.0,31.3,High School,0,29.4,Finance,FIN
101280.0,25.2,High School,0,39.0,Engineering,ENG
128031.0,33.5,Master,0,31.9,Marketing,MAR
118774.0,25.0,Bachelor,1,51.2,Marketing,MAR
74398.0,3.3,Master,0,28.5,Finance,FIN
70077.0,7.9,Bachelor,0,46.4,Engineering,ENG
129622.0,33.2,Bachelor,1,40.5,Finance,FIN
123193.0,24.5,Master,1,42.4,Marketing,MAR
85848.0,12.1,Bachelor,0,46.3,Finance,FIN
153494.0,33.5,Master,0,44.5,Finance,FIN
139543.0,30.6,Bachelor,1,27.3,Engineering,ENG
132471.0,34.9,Master,0,27.0,Operations,OPE
106236.0,15.9,Master,0,36.3,Finance,FIN
119635.0,32.6,Bachelor,0,47.7,Marketing,MAR
112785.0,19.3,Bachelor,0,38.5,Finance,FIN
94413.0,20.1,Bachelor,0,39.7,Finance,FIN
105122.0,9.3,Master,1,44.5,Finance,FIN
99010.0,20.3,Bachelor,0,41.9,Engineering,ENG
67343.0,3.1,High School,0,40.0,Finance,FIN
89738.0,13.2,Bachelor,1,34.3,Marketing,MAR
59176.0,11.0,Bachelor,0,32.2,Marketing,MAR
108452.0,20.2,Bachelor,0,38.3,Engineering,ENG
80202.0,14.7,High School,0,41.7,Engineering,ENG
32897.0,4.0,Bachelor,0,23.1,Marketing,MAR
85289.0,6.9,Master,0,37.0,Finance,FIN
93656.0,9.3,Bachelor,1,32.3,Finance,FIN
143875.0,28.7,Master,1,29.6,Marketing,MAR
109849.0,31.5,Bachelor,0,32.4,Marketing,MAR
70354.0,15.2,High School,0,39.2,Engineering,ENG
71389.0,15.0,High School,0,38.6,Marketing,MAR
85428.0,7.0,Master,0,36.8,Finance,FIN
92379.0,20.6,Bachelor,0,33.7,Engineering,ENG
69696.0,8.3,High School,0,45.9,Operations,OPE
85611.0,8.6,Bachelor,1,35.9,Operations,OPE
112074.0,27.1,High School,0,40.7,Finance,FIN
104261.0,12.7,Bachelor,0,56.3,Finance,FIN
105618.0,17.6,Master,0,37.6,Engineering,ENG
96688.0,12.2,Bachelor,1,42.8,Marketing,MAR
82546.0,6.5,Bachelor,0,27.1,Finance,FIN
62174.0,2.3,Bachelor,0,39.4,Marketing,MAR
71421.0,9.9,High School,0,32.1,Marketing,MAR
70539.0,7.3,Bachelor,1,40.3,Marketing,MAR
95986.0,21.6,Bachelor,0,33.8,Operations,OPE
94708.0,22.9,Bachelor,0,27.5,Operations,OPE
99756.0,22.3,Master,0,38.0,Operations,OPE
113134.0,24.8,High School,0,42.8,Engineering,ENG
142043.0,30.4,Bachelor,1,46.2,Marketing,MAR
135048.0,30.6,Master,0,24.6,Finance,FIN
