ind_country,cbs_nationality,herkomst_group
INDONESIA,Indonesisch,Indonesië
IRAN,Iraans,Buiten-Europa (excl. 5 grote herkomstgroepen)
"IRAN, ISLAMIC REPUBLIC OF",Iraans,Buiten-Europa (excl. 5 grote herkomstgroepen)
IRAQ,Iraaks,Buiten-Europa (excl. 5 grote herkomstgroepen)
IRELAND,Iers,Europa (exclusief Nederland)
ISRAEL,Israëlisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
ITALY,Italiaans,Europa (exclusief Nederland)
JAMAICA,,
JAPAN,Japans,Buiten-Europa (excl. 5 grote herkomstgroepen)
JORDAN,Jordaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
KAZAKHSTAN,Kazaks,Buiten-Europa (excl. 5 grote herkomstgroepen)
KENYA,Keniaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
"KOREA, REPUBLIC OF",Zuid-Koreaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
KOSOVO,Kosovaars,Europa (exclusief Nederland)
KUWAIT,Koeweits,Buiten-Europa (excl. 5 grote herkomstgroepen)
KYRGYZSTAN,,
LAOS,,
LATVIA,Lets,Europa (exclusief Nederland)
LEBANON,Libanees,Buiten-Europa (excl. 5 grote herkomstgroepen)
LIBERIA,Liberiaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
LIBYA,Libisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
LITHUANIA,Litouws,Europa (exclusief Nederland)
LUXEMBOURG,Luxemburgs,Europa (exclusief Nederland)
MACAO S.A.R.,Chinees,Buiten-Europa (excl. 5 grote herkomstgroepen)
MADAGASCAR,,
MALAYSIA,Maleisisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
MALI,,
MALTA,Maltees,Europa (exclusief Nederland)
MAURITANIA,,
MAURITIUS,,
MEXICO,Mexicaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
MOLDOVA,Moldavisch,Europa (exclusief Nederland)
MONGOLIA,Mongools,Buiten-Europa (excl. 5 grote herkomstgroepen)
MONTENEGRO,Montenegrijns,Europa (exclusief Nederland)
MOROCCO,Marokkaans,Marokko
MOZAMBIQUE,,
MYANMAR,Myanmarees,Buiten-Europa (excl. 5 grote herkomstgroepen)
NAMIBIA,Namibisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
NEPAL,Nepalees,Buiten-Europa (excl. 5 grote herkomstgroepen)
NETHERLANDS,,
NEW ZEALAND,Nieuw-Zeelands,Buiten-Europa (excl. 5 grote herkomstgroepen)
NICARAGUA,,
NIGER,,
NIGERIA,Nigeriaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
NORTH MACEDONIA,Macedonisch,Europa (exclusief Nederland)
NORWAY,Noors,Europa (exclusief Nederland)
OMAN,Omanitisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
PAKISTAN,Pakistaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
PALESTINIAN AUTHORITY,,
PANAMA,,
PARAGUAY,,
PERU,Peruaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
PHILIPPINES,Filippijns,Buiten-Europa (excl. 5 grote herkomstgroepen)
POLAND,Pools,Europa (exclusief Nederland)
PORTUGAL,Portugees,Europa (exclusief Nederland)
QATAR,,
ROMANIA,Roemeens,Europa (exclusief Nederland)
RUMANIA,Roemeens,Europa (exclusief Nederland)
RUSSIAN FEDERATION,Russisch,Europa (exclusief Nederland)
RWANDA,Rwandees,Buiten-Europa (excl. 5 grote herkomstgroepen)
SAINT LUCIA,,
SAN MARINO,San Marinees,Europa (exclusief Nederland)
SAO TOME AND PRINCIPE,,
SAUDI ARABIA,Saoedi-Arabisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
SENEGAL,Senegalees,Buiten-Europa (excl. 5 grote herkomstgroepen)
SERBIA,Burger Servië,Europa (exclusief Nederland)
SINGAPORE,Singaporees,Buiten-Europa (excl. 5 grote herkomstgroepen)
SLOVAKIA,Slowaaks,Europa (exclusief Nederland)
SLOVENIA,Sloveens,Europa (exclusief Nederland)
SOUTH AFRICA,Zuid-Afrikaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
SOUTH KOREA,Zuid-Koreaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
SPAIN,Spaans,Europa (exclusief Nederland)
SRI LANKA,Sri Lankaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
SUDAN,Soedanees,Buiten-Europa (excl. 5 grote herkomstgroepen)
SURINAME,Surinaams,Suriname
SWEDEN,Zweeds,Europa (exclusief Nederland)
SWITZERLAND,Zwitsers,Europa (exclusief Nederland)
SYRIA,Syrisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
TAIWAN,Taiwanees,Buiten-Europa (excl. 5 grote herkomstgroepen)
TAJIKISTAN,,
TANZANIA,Tanzaniaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
"TANZANIA,UND REPUBLIC",Tanzaniaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
THAILAND,Thais,Buiten-Europa (excl. 5 grote herkomstgroepen)
TIMOR-LESTE,,
TOGO,Togolees,Buiten-Europa (excl. 5 grote herkomstgroepen)
TRINIDAD AND TOBAGO,,
TUNISIA,Tunesisch,Buiten-Europa (excl. 5 grote herkomstgroepen)
TURKEY,Turks,Turkije
TURKMENISTAN,,
TÜRKIYE,Turks,Turkije
UGANDA,Ugandees,Buiten-Europa (excl. 5 grote herkomstgroepen)
UKRAINE,Oekraïens,Europa (exclusief Nederland)
UNITED ARAB EMIRATES,,
UNITED KINGDOM,Brits,Europa (exclusief Nederland)
URUGUAY,Uruguayaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
USA,Amerikaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
UZBEKISTAN,Oezbeeks,Buiten-Europa (excl. 5 grote herkomstgroepen)
VANUATU,,
VENEZUELA,Venezolaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
VIET NAM,Vietnamees,Buiten-Europa (excl. 5 grote herkomstgroepen)
VIETNAM,Vietnamees,Buiten-Europa (excl. 5 grote herkomstgroepen)
ZAMBIA,Zambiaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
ZIMBABWE,Zimbabwaans,Buiten-Europa (excl. 5 grote herkomstgroepen)
